ItemSold,,,"Well done, another satisfied customer.  Here's your commission.  (She gives you $MoneyAmount.)",,
0,20,Can I tie you up?,"I'll make a deal with you.  If you buy everything from the store, I'll let you use the items on me.",CheckBoughtEverything(),!VendorAllowItem
0,,Can you help me out?,I'm not allowed to release you.  But I can help you to shop and pay.  I will be honest.,,!Player.CanInteract()
0,30,Do you have work for me?,"Sure, I can give you a salary if you're willing to demonstrate the items we are selling.  Are you ready for that?",,Player.CanInteract()
0,,I need to run.  (Leave her.),,DialogLeave(),
20,0,Check my items.  I've bought everything.,No way!  Well a deal is a deal.  You can strap me up if you want.,VendorBondage(),BoughtEverything
20,0,I'll remember that deal.,Sure!  Do you have more questions for me?,,
30,,What's the job?,Modelling gear so our customers can see that the items are secure and good looking.  You'd demonstrate and convince them.,,
30,,How much does it pay?,"I can give you 10% of the selling price, minimum $7, for each item you help me to sell.  It's a good commission.",,
30,31,I'm ready!,"Very well, let me find an item to promote.  (She checks on the shelves for an item to use on you.)",,!Player.IsRestrained()
30,,I'm ready!,No you're not.  (She giggles.)  Get out of these restraints first.,,Player.IsRestrained()
30,0,Not right now.,"Alright, let me know when you're ready.  Is there anything else you need?",,
31,32,(Let her restrain you.),(She uses an item on you and smiles.)  You can wait for a customer right there.,JobRestrain(),
31,0,Wait!  I've changed my mind.,"Alright, let me know when you're ready.  Is there anything else you need?",,
32,33,(Wait for a customer.),,JobStart(),
33,0,Thanks a lot!,My pleasure.  Is there anything else you need?,,
33,0,(Nod happily.),My pleasure.  Is there anything else you need?,,
33,,Can I do it again?,(She giggles.)  You'll need to get out of those restraints before you can try again!,,!JobCanGoAgain()
33,31,Can I do it again?,Sure!  Let me find an item to promote.  (She checks on the shelves for an item to use on you.),,JobCanGoAgain()
33,,Can you help me out?,"I don't have time, there's too many customers.  Go find a maid if you can't struggle out.",DialogRemove(),!Player.CanInteract()
34,0,I'm not a great saleswoman.,Don't worry about it.  Is there anything else you need?,,
34,0,(Nod very slowly.),Don't worry about it.  Is there anything else you need?,,
34,,Can I try again?,  I'm afraid you'll need to get out of those restraints before you can try again,,!JobCanGoAgain()
34,31,Can I try again?,Alright.  Let me find an item to promote.  (She checks on the shelves for an item to use on you.),,JobCanGoAgain()
34,,Can you help me out?,"I don't have time, there's too many customers.  Go find a maid if you can't struggle out.",DialogRemove(),!Player.CanInteract()
MaidRescue,,,(She struggles in her restraints.)  Help!,,IsVendorRestrained()
MaidRescue,,,"(She gives you a thumbs up.)  Everything is back to normal, thanks to you and the sorority.",,!IsVendorRestrained()
MaidRescue,,Do you need help?,"(She nods quickly.)  Yes, yes, yes!  Please help.",,IsVendorRestrained()
MaidRescue,,Was anything stolen?,(She shrugs.)  I sure hope not.,,
MaidRescue,MaidRescueComplete,Is everything alright now?,You've took care of everything.  Please send my regards to the maids of the sorority.,CompleteRescue(),!IsVendorRestrained()
MaidRescue,,What happened here?,"I've made a deal with a client that if she bought everything, she could use the items on me.  So, she did just that.",,"IsRescueScenario(""BoughtEverything"")"
MaidRescue,,What happened here?,A burglar surprised and restrained me.  The maids caught her and dragged her away.  I guess they sent you to help me.,,"IsRescueScenario(""CatBurglar"")"
MaidRescue,,What happened here?,I was bored and wanted to try a few items.  I think I got a little carried away.,,"IsRescueScenario(""BoredVendor"")"
MaidRescue,,What happened here?,There wasn't any customer and I fell asleep.  The Head Mistress caught me and restrained me like that until she called the maids.,,"IsRescueScenario(""SleepingAtWork"")"
MaidRescue,,I'll go get help.  (Leave her.),,DialogLeave(),
MaidRescueComplete,0,I'm glad to be of service Miss.,You maids are so sweet.  Would you like to buy something?,"DialogChangeReputation(""Dominant"", -2)",
MaidRescueComplete,0,Will you give me a discount?,"Nice try, but I can't do that.  The sorority will pay you for your work though.  Would you like to buy something?",,
MaidRescueComplete,0,The sorority will always protect you.,It's great to feel protected.  Would you like to buy something?,"DialogChangeReputation(""Dominant"", 2)",
