Exit,Exit the game
Title Permanent Patient,Permanent Patient
Text Permanent Patient,<F>Monday exam is quite similar to therapy Tuesday.
Title Doctor,Doctor
Text Doctor,+3 Fame per turn for each Asylum Patient present. Max 12
Title Picky Nurse,Picky Nurse
Text Picky Nurse,Only enters if 2 Asylum Patient or more are present.  Leaves if there are less than 2 Asylum Patient.
Title Amateur Rigger,Amateur Rigger
Text Amateur Rigger,<F>Purple hands?  I'm sure it's normal.
Title Domme,Domme
Text Domme,<F>Your knees will be sore tonight.
Title Madam,Madam
Text Madam,<F>I will take care of your needs and your money.
Title Mistress,Mistress
Text Mistress,<F>This collar will remind you of my power.
Title Dominatrix,Dominatrix
Text Dominatrix,<F>Bring your credit card slave.
Title Mistress Sophie,Mistress Sophie
Text Mistress Sophie,<F>Votre douleur est mon plaisir.
Title Scammer,Scammer
Text Scammer,Your Timed events last 1 fewer turn.
Title Pyramid Schemer,Pyramid Schemer
Text Pyramid Schemer,"When a member enters your club, lose 1 Money per two lower tier members present."
Title Ponzi Schemer,Ponzi Schemer
Text Ponzi Schemer,"<F>Trust me, this police ankle bracelet is only a kink of mine."
Title Party Pooper,Party Pooper
Text Party Pooper,<F>Why is everyone so boring nowadays?
Title College Dropout,College Dropout
Text College Dropout,"Gets -2 fame if you have more fame than the opponent, and -1 fame if your club is tier 4 or higher."
Title Union Leader,Union Leader
Text Union Leader,"Gain +1 Fame for each member present. Gain -1 Fame for each member in your opponent's club. (Max +/- 5)"
Title No-Fap Advocate,No-Fap Advocate
Text No-Fap Advocate,"When you play a non-timed event, shuffle a random card from your hand into your deck to draw a card."
Title Pandora Infiltrator,Pandora Infiltrator
Text Pandora Infiltrator,"Randomly gets -1 Fame/Money when a non-liability member that shares a type enters (Max -3/-2). Enters: Gets the type(s) of a selected member."
Prerequisite Pandora Infiltrator,"Select a member to copy their type(s)"
Title Uncontrollable Sub,Uncontrollable Sub
Text Uncontrollable Sub,"When you upgrade your club, set her Fame to -X. X equals the highest fame among members present."
Title Baby Girl,Baby Girl
Text Baby Girl,+1 Money per turn if at least one ABDL Mommy is present.
Title Caring Mother,Caring Mother
Text Caring Mother,<F>Mother do you think they'll try to break my balls.
Title Diaper Baby,Diaper Baby
Text Diaper Baby,+3 Money per turn if at least one Maid is present.
Title Sugar Baby,Sugar Baby
Text Sugar Baby,<F>This baby wants a diamond pacifier.
Title Babysitter,Babysitter
Text Babysitter,+2 Fame per turn for each ABDL Baby present. Max 4
Title Soap Opera Mother,Soap Opera Mother
Text Soap Opera Mother,+25 Fame when she enters your club if at least one ABDL Baby is present.
Title Amanda,Amanda
Text Amanda,<F>I never thought I would find a second home in this perverted place.
Title Sarah,Sarah
Text Sarah,"Gain +2 Fame if Mistress Sophie is present, +1 Fame if Amanda is present, and -1 Fame if Sidney is present."
Title Sidney,Sidney
Text Sidney,<F>Anyone that calls me Piggy will end up in a hogtie.
Title Jennifer,Jennifer
Text Jennifer,Select and remove one member from your club before she enters.
Prerequisite Jennifer,Select a member from your club to remove before Jennifer enters.
Title College Freshwoman,College Freshwoman
Text College Freshwoman,+1 Fame per turn if Julia is present.  +1 Fame per turn if Yuki is present.
Title College Nerd,College Nerd
Text College Nerd,+1 Money per turn if Julia is present.  +1 Money per turn if Yuki is present.
Title College Hidden Genius,Hidden Genius
Text College Hidden Genius,+4 Fame per turn if Mildred is present.
Title Substitute Teacher,Substitute Teacher
Text Substitute Teacher,+1 Fame per turn for each College Student present. Max 4
Title Julia,Julia
Text Julia,<F>Seeing them learn and grow is magnifico.
Title Yuki,Yuki
Text Yuki,<F>You cannot learn with a closed mind or closed legs.
Title Mildred,Mildred
Text Mildred,"<F>In my class, silence is gold and will be enforced."
Title Sam the Busty Cow,Sam the Busty Cow
Text Sam the Busty Cow,<F>Got Milk?
Title Suki,Suki
Text Suki,Gain +1 Money if another Kemonomimi is present.
Title Angela,Angela
Text Angela,<F>Hmms nya~ Could I interest you in a lewd potion mew?~
Title Scratch and Win,Scratch and Win
Text Scratch and Win,+7 Money.
Title Kinky Garage Sale,Kinky Garage Sale
Text Kinky Garage Sale,+12 Money.
Title Second Mortgage,Second Mortgage
Text Second Mortgage,+20 Money.
Title Foreign Investment,Foreign Investment
Text Foreign Investment,+30 Money.
Title Cat Burglar,Cat Burglar
Text Cat Burglar,Steal 2 Fame and Money. Then steal 2 Fame and 2 Money unless your opponent has Police.
Title Money Heist,Money Heist
Text Money Heist,"Steal 6 Money. Then steal 2 Money if a Criminal is present. Then steal 4 Money if your opponent doesn't have Police."
Title BDSM Ball,BDSM Ball
Text BDSM Ball,"All Submissives and Dominants in your club get +1 Fame."
Title Vampire Ball,Vampire Ball
Text Vampire Ball,"Gain 2 Fame for each member that's not Dominant, Liability, Kemonomimi, Maid, Player, or Staff."
Title Straitjacket Saturday,Straitjacket Saturday
Text Straitjacket Saturday,Draw a random Ayslum Nurse. Gain 4 money for each Asylum Patient present.
Title Charity Auction,Charity Auction
Text Charity Auction,"Select and remove one member from your club, gain 1 Fame per building level."
Prerequisite Charity Auction,Select a member from your club to remove for Fame.
Title Slave Auction,Slave Auction
Text Slave Auction,"Select and remove one member from your club, gain 1 Money per building level."
Prerequisite Slave Auction,Select a member from your club to remove for Money.
Title College Bash,College Bash
Text College Bash,"Lose 1 Money and receive 2 Fame for each College Student present, 1 more Fame if Sidney is present."
Title Ransomware,Ransomware
Text Ransomware,"Opponent loses 4 Money per building tier. If your opponent has Amanda or Jennifer, they lose 2 instead."
Title Shibari Evening,Shibari Evening
Text Shibari Evening,+1 Fame for each Non-Dominant members in your club. +1 Extra Fame for each Shibari member.
Title Moving Out of Town,Moving Out of Town
Text Moving Out of Town,Remove any member from your opponent club.
Prerequisite Moving Out of Town,Select a member from your opponent club to remove.
Prerequisite Kidnapping,Select a member from your opponent's club to kidnap.
Title Virtual Meeting,Virtual Meeting
Text Virtual Meeting,Draw 2 cards
Title Weekend Meeting,Weekend Meeting
Text Weekend Meeting,Draw 3 cards
Title Fancy Meeting,Fancy Meeting
Text Fancy Meeting,Draw 5 cards
Title Prank,Prank
Text Prank,Your opponent discards 2 random cards.
Title Sabotage,Sabotage
Text Sabotage,"At the end of your opponent's next 3 turns: If the draw action was taken, they lose 8 fame, else they discard a random card."
Title Nursery Night,Nursery Night
Text Nursery Night,"+3 Money for each ABDL Baby, ABDL Mommy and Maid in your club."
Title Bad Press,Bad Press
Text Bad Press,"For 3 turns, your opponent gains no Fame at the end of turn.  Cancels opponent Clever Marketing."
Effect Bad Press,No Fame is gained because of OPPONENTPLAYER Bad Press event.
Title Clever Marketing,Clever Marketing
Text Clever Marketing,"For 3 turns, you gain +50% more Fame at the end of turn, increase by +50% each turn. Cancels opponent Bad Press."
Effect Clever Marketing,Fame gained is increased because of SOURCEPLAYER Clever Marketing event.
Title Repay Loan,Repay Loan
Text Repay Loan,"For 3 turns, your opponent gains no Money at the end of turn.  Cancels opponent Bank Loan."
Effect Repay Loan,No Money is gained because of OPPONENTPLAYER Repay Loan event.
Title Bank Loan,Bank Loan
Text Bank Loan,"For 3 turns, you gain double Money at the end of turn.  Cancels opponent Repay Loan."
Effect Bank Loan,Money gained is doubled because of SOURCEPLAYER Bank Loan event.
Title Teamwork,Teamwork
Text Teamwork,"For 4 turns, you draw an extra card each time you take draw a card action."
Title Overtime,Overtime
Text Overtime,"For 3 turns, you can play an extra card."
Title Porn Convention,Porn Convention
Text Porn Convention,"For 3 turns, all players gain 3 fame for each Porn Actress in their club at the end of turn (Max 12)."
Title Kidnapping,Kidnapping
Text Kidnapping,Remove any member from your opponent club.  You lose opponent building level^2 Money.
Title Pandora Box,Pandora's Box
Text Pandora Box,Discard your hand. Each player draws until they have at least 4 cards in hand. Each player draws a card.
Effect Pandora Box,"SOURCEPLAYER opens Pandora's Box and discard their hand. All players draw until they have 4 cards, then draw a card."
Title Toy Box,Toy Box
Text Toy Box,Receive 3 Money and Draw a card.
Title Restrain,Restrain
Text Restrain,"For 2 turns, both players cannot use events and negate the effect of all events present."
Title Detective,Detective
Text Detective,"When your opponent takes the draw action, Receive 2 Money. If no Liability present, also receive 1 Fame."
Title Launder,Launder
Text Launder,"If a Criminal is present, spend all your Money. Receive 1 Fame for every 3 Money lost. If this card is in your streets, shuffle it to your deck."
Title Big Baby,Big Baby
Text Big Baby,"Enters: Opponent draws a card"
Title Fussy Baby,Fussy Baby
Text Fussy Baby,Returns to hand when the opponent plays an Event and you gain 4 fame.
Effect Fussy Baby,Fussy Baby returned to SOURCEPLAYER's hand and gave 4 fame.
Title Daycare Enthusiast,Daycare Enthusiast
Text Daycare Enthusiast,Gain 3 fame when an ABDL Mommy enters your club. Gain 3 money when an ABDL Baby enters your club.
Title Daycare Party,Daycare Party
Text Daycare Party,Gain 4 Fame and draw a card for each ABDL Mommy present.
Title Nanny,Nanny
Text Nanny,"When an ABDL Baby enters your club, gain fame equal to your club level."
Title Dommy Mommy,Dommy Mommy
Text Dommy Mommy,+1 Fame per turn for each ABDL Baby present. Gain 1 Fame for each member present when she enters your club.
Title Contract Caretaker,Contract Caretaker
Text Contract Caretaker,"When an ABDL Baby enters your club, your opponent loses 4 Fame."
Title Teacher's Aide,Teacher's Aide
Text Teacher's Aide,<F>Aiding her teacher day and night
Title Homeroom,Homeroom
Text Homeroom,Can only be played if you control 3 or more College members. Both players cannot advance their club for 4 turns.
Title Student Custodian,Student Custodian
Text Student Custodian,"When teacher or staff enters, if their tier is higher than this member's Money, gets +1  Money "
Title Recess,Recess
Text Recess,Draw 2 cards. Gain 2 money for each ABDL Baby and College Student present.
Title Med Student,Med Student
Text Med Student,+1 Money per turn if an Asylum Patient is present. +1 Fame per turn if a College Teacher is present.
Title First Bell,First Bell
Text First Bell,"Draw a random college student from your deck. If it's your first turn or you control a teacher, play again."
Effect First Bell Draw,SOURCEPLAYER draws 1 card from First Bell
Effect First Bell No Draw,SOURCEPLAYER could not draw any cards from First Bell
Title Debuter,Debuter
Text Debuter,"Draw a random Event from your deck."
Effect Debuter Draw,SOURCEPLAYER draws 1 random Event from Debuter
Effect Debuter No Draw,SOURCEPLAYER could not draw any Events from Debuter
Title Re-Run,Re-Run
Text Re-Run,"Return a Random Video from your Streets to your hand, gain fame equal to it's tier, and take another action."
Effect Re-Run,SOURCEPLAYER returned CARDNAME from their Streets to their hand and gained AMOUNT fame.
Title Naughty Knotter,Naughty Knotter
Text Naughty Knotter,"Enters: Play 2 random Knots from your streets."
Title Gangbang Banger,Gangbang Banger
Text Gangbang Banger,"Return all porn actresses from your club to your hand, then play all porn members in your hand."
Effect Gangbang Banger,The porn actresses from SOURCEPLAYER’s club leave… and instantly strut right back in!
Title Alvin,Alvin
Text Alvin,"Summon a Ropeslave when playing Restrain, Shibari event or Kidnapping a Dominant or Mistress (max 3 in club)"
Title Rope Slave,Rope Slave
Text Rope Slave,Gain 1 Money when you play a Knot or Shibari event. 
Effect Rope Slave,"SOURCEPLAYER gained AMOUNT money from Rope Slave."
Title Quack Doctor,Quack Doctor
Text Quack Doctor,"Start of your turn, for each Asylum Patient present, players lose 1 fame. (Max 4)"
Effect Quack Doctor,"SOURCEPLAYER and OPPONENTPLAYER lost AMOUNT fame."
Title Sophie,Sophie
Text Sophie,"Enters: Select a non-Liability member from either club to double their fame and money."
Effect Sophie,CARDNAME got their fame and money boosted by the lovely Sophie~
Prerequisite Sophie,Select a member to enhance before Sophie enters.
Title Hypnotherapist,Hypnotherapist
Text Hypnotherapist,"When she enters your club, return all Tier 1 members to their owner's hands, then take another action."
Effect Hypnotherapist,"All Tier 1 members have returned to their owners' hands."
Title Help Button,Help Button
Text Help Button,"Return a member from your club to its owners deck, a random Maid or Nurse of equal level joins your club from your deck."
Effect Help Button No Draw,SOURCEPLAYER could not summon any cards from Help Button.
Prerequisite Help Button,Select a member from your club to return to deck.
Title Prodigious Patient,Prodigious Patient
Text Prodigious Patient,"When she leaves your club, your opponent loses 15 fame and discards a random card. Leaves your club after 6 turns."
Title Theatre Nurse,Theatre Nurse
Text Theatre Nurse,"When an asylum patient enters your club, gain 3 money and draw a card."
Title Knot Nut,Knot Nut
Text Knot Nut,"<F>These ropes wont hold me forever... better add more."
Title Quality Maid,Quality Maid
Text Quality Maid,The costs for you to upgrade your club is reduced by 10.
Title Public Spanking,Public Spanking
Text Public Spanking,"For the next 3 turns, your opponent loses 4 fame plus the tier level of your highest tier Dominant present."
Effect Public Spanking,SOURCEPLAYER lost AMOUNT Fame because of public spanking.
Title Nawashi,Nawashi
Text Nawashi,"When she enters your club, your opponent doesn't gain fame at the end of their next turn."
Effect Nawashi,No Fame is gained because of OPPONENTPLAYER Nawashi.
DiscardPile,Streets (discard pile)
Close,Close
Title Burlington Bowtie,Burlington Bowtie
Text Burlington Bowtie,"Gain 4 fame. Gain 2 fame per Sensei present."
Effect Burlington Bowtie,SOURCEPLAYER gained AMOUNT Fame from Burlington Bowtie.
Title Square Knot,Square Knot
Text Square Knot,"Your opponent loses 4 fame. If a Sensei is present, you gain 4 fame."
Effect Square Knot,OPPONENTPLAYER lost AMOUNT Fame from Square Knot.
Effect Square Knot Sensei,SOURCEPLAYER gained AMOUNT Fame from Square Knot
Title Closed Hitch,Closed Hitch
Text Closed Hitch,Draw a card.
Effect Closed Hitch,SOURCEPLAYER draws a card from Closed Hitch.
Title Struggler's Knot,Struggler's Knot
Text Struggler's Knot,Take another action. 
Title Quick Release Knot,Quick Release Knot
Text Quick Release Knot,Gain money equal to the number of knots in your streets plus 4. Shuffle this and all knots from your streets into your deck. 
Effect Quick Release Knot,SOURCEPLAYER gained AMOUNT Money from Quick Release Knot.
Title Master Class,Master Class
Text Master Class,"For the next 4 turns, if a Sensei is present, play a random Knot from your deck at the start of your turn."
Title Tie Tight,Tie Tight
Text Tie Tight,"Shuffle a member from your opponents club into their deck. Unless a Sensei is present, they draw a card."
Prerequisite Tie Tight,Select a member from your opponent club to remove.
Title Rope Auction,Rope Auction
Text Rope Auction,Remove a member from your club to play 1 random Knot from your deck. 
Prerequisite Rope Auction,Select a member from your club to remove.
GroupSensei,Sensei
GroupKnot,Knot
Title Shibari Lover,Shibari Lover
Text Shibari Lover,"When this card or another Shibari member enters your club, play a random Knot from your deck."
Title Goddess of Ropes,Goddess of Ropes
Text Goddess of Ropes,"When you play a Shibari card, play a random Knot from your deck." 
Title Rope Slinger,Rope Slinger
Text Rope Slinger,"When she enters your club, play all knots in your hand. When you upgrade your building, return this member to your hand."
Title Fit To Be Tied,Fit To Be Tied
Text Fit To Be Tied,"Play all Knots in your hand, deck, and streets and shuffle them into your deck."
Title Living Art,Living Art
Text Living Art,Gain 1 Fame when you play a Knot or Shibari Event. 
Effect Living Art,"SOURCEPLAYER gained AMOUNT fame from Living Art."
Title Attention Whore,Attention Whore
Text Attention Whore,Select and remove one ongoing event before she enters your club.
Prerequisite Attention Whore,Select an ongoing event to remove before Attention Whore enters.
MemberSummoned,CARDNAME joins SOURCEPLAYER's club.
GroupPet,Pet
GroupOwner,Owner
Title Bun Bun,Bun Bun
Text Bun Bun,"Costs 1 money and gain 1 fame. +1 money if owner Present. +1 fame at building level 5."
Title Naughty Kitty,Naughty Kitty
Text Naughty Kitty,"When she enters the club, discard your hand and lose 3 money. For each card you draw, gain money equal to your building level."
Title Jessica,Jessica
Text Jessica,"Pets treat your building level as 2 higher. When you play a pet, draw a card and gain 1 fame."
Title MerMaid,MerMaid
Text MerMaid,"Enters: Lose 25 Money. Draw a card. If an Owner is present, take another action."
Title Puppy,Puppy
Text Puppy,"Gain +1 Money per 2 building tiers. Gain +1 Fame if an owner is present. Enters: Lose 5 Money."
Title Protective Owner,Protective Owner
Text Protective Owner,"Pets treat your building level as 1 higher. If you would discard a pet from your hand, shuffle it into your deck instead."
Title Feline Fatale,Feline Fatale
Text Feline Fatale,"Enters: Lose 13 money. Remove a member from your opponent's club that has a level equal or lower to an Owner present in your club."
Prerequisite Feline Fatale,Select a member from your opponent club to remove.
Title Wolf Girl,Wolf Girl
Text Wolf Girl,"Enters: Lose 7 Money & opponent randomly discards a card. +1 Fame per 2 of your building levels. +1 Money if an owner is present."
Title Pet toys,Pet toys
Text Pet toys,"Gain 2 money per pet in your club and gain 2 Fame per owner in your club, then play again. "
Title Pet Sitter,Pet Sitter
Text Pet Sitter,"Gains +1 money for each pet in either club (Max 5). If your opponent has any Pets in their club, they gain 1 money each turn."
Title Pet Rock,Pet Rock
Text Pet Rock,<F>Just a rock...
Title Tips,Tips
Text Tips,"At the start of your next 5 turns, gain 1 money."
Title Pet Trainer,Pet Trainer
Text Pet Trainer,"When you play a pet you gain 2 fame. Gains +3 fame if show dog is present in your club."
Title Show Dog,Show Dog
Text Show Dog,"Enters: lose 15 money and reveal your hand."
Title Miss Mouse,Miss Mouse
Text Miss Mouse,"When a pet enters your club, opponent loses 1 Fame per 2 building tiers. Gain +1 Fame if an owner is present. Enters: Lose 1 Money."
Title Rich Owner,Rich Owner
Text Rich Owner,"Pets treat your building level as 1 higher. +1 Fame if a Maid is present. When a Pet enters, gain 1 Money per pet present (Max 5)"
Title Tour Guide,Tour Guide
Text Tour Guide,"When she enters your club, draw a card. Gains +3 money if tourist is present, gains +3 fame if diplomat is present."
Title Moon,"Moon"
Text Moon,"Cannot be targeted by other cards. Enters: Lose 16 money, select a member on board to add a copy to your hand."
Prerequisite Moon,Choose a member to create an illusory copy of that card in your hand. 
Title Sticky Fingers,Sticky Fingers
Text Sticky Fingers,"Enters: Steal 2 Fame. When you steal with another effect, steal 1 Fame and Money."
Title Earner,Earner
Text Earner,"Gain +1 Money for each member in your streets. (Max +4)"
Title Naughty Baby,Naughty Baby
Text Naughty Baby,"Enters: Steal 4 money if no Police are present. Then steal 4 fame if no Police are present in opponent's club."
Title Consigliere,Consigliere
Text Consigliere,"At the end of your turn, spend 8 money to draw a card and gain 3 Fame."
Title Con Artist,Con Artist
Text Con Artist,"When you take the draw action, if no Police are in your opponent's club, steal 1 Fame."
Title Inspector,Inspector 
Text Inspector,"Unless your club level is higher than your opponent's, increase the cost for players to upgrade by 10." 
Title Troublemaker,Troublemaker
