Preferences,- Preferences -
ReturnToChatRoom,Return to chatrooms on relog
ReturnToChatRoomAdmin,Auto-remake rooms
SenseDepMessages,Hide others' messages
ImmersionLocked,All immersion settings are maxed out under the Extreme difficulty mode
BlindAdjacent,Hide non-adjacent players while partially blind
StimulationEvents,Events while plugged or vibed
ChatRoomMuffle,Garble chat room names and descriptions while blind
RoomCustomizationLabel,Room customization:
RoomCustomizationLevel0,Never
RoomCustomizationLevel1,Disabled by default
RoomCustomizationLevel2,Enabled by default
RoomCustomizationLevel3,Always
SensDepSetting,Sensory deprivation setting
SensDepLight,Light
SensDepNames,Hide names
SensDepTotal,Heavy
SensDepExtreme,Total
DoBlindFlash,Flash after blindness
SmoothZoom,Zoom chatrooms smoothly
CenterChatrooms,Center players in chatrooms
AllowPlayerLeashing,Players can drag you to rooms when leashed
AllowRename,Your owner can change or lock your nickname
DisableAutoMaid,Maids come automatically when restrained
DisablePickingLocksOnSelf,Locks on you can't be picked
BlindDisableExamine,Disable examining when blind
DisableAutoRemoveLogin,Keep all restraints when relogging
OfflineLockedRestrained,Cannot enter single-player rooms when restrained
ArousalDisableAdvancedVibes,"Block advanced vibrator modes (edge, random, etc)"
GeneralHardcoreWarning,Safewords and help from NPCs are disabled on Hardcore or Extreme
ToggleColorPicker,Toggle color picker
ItemsAffectExpressions,Items can affect your facial expression
GeneralAnimationQuality0,Max
GeneralAnimationQuality50,High
GeneralAnimationQuality100,Medium
GeneralAnimationQuality200,Low
GeneralAnimationQuality2000,Lower
GeneralAnimationQuality10000,Lowest
GeneralAnimationQualityText,Animation quality
GeneralAnimationQualityHint,Reduce if inputs such as sliders are slow to respond
ForceFullHeight,Display all characters at maximum height
EnableAfkTimer,Show AFK bubble if idle for 5 minutes
EnableSafeword,Allow Safeword use (Cannot enable while bound)
ConfirmSafeword,(Click to confirm) Allow Safeword use (Cannot enable while bound)
AllowFullWardrobeAccess,Allow others to alter your whole appearance
BlockBodyCosplay,Prevent others from changing cosplay items
ShowStatus,Show status bubble
SendStatus,Send your status
UpdateEmailDescription,Linking an email will allow password recovery
UpdateEmail,Update Email
UpdateEmailOld,Current email:
UpdateEmailNew,New email:
UpdateEmailEmpty,"No email saved, write here to add one"
UpdateEmailLinked,"An email is linked, write it here to update it"
UpdateEmailSuccess,Your email has been updated.
UpdateEmailFailure,Current email does not match
UpdateEmailInvalid,Invalid characters
ArousalShowOtherMeter,Show other characters meter
ArousalAffectExpression,Affect your facial expressions
ArousalActive,Activation:
ArousalActiveInactive,Disable sexual activities
ArousalActiveNoMeter,Allow without a meter
ArousalActiveManual,Allow with a manual meter
ArousalActiveHybrid,Allow with a hybrid meter
ArousalActiveAutomatic,Allow with a locked meter
VFX,Arousal meter visuals
VFXInactive,Bare meter
VFXSolid,Solid glow
VFXAnimatedTemp,Temporary animation
VFXAnimated,Constant animation
VFXVibrator,Vibrator screen filters
VFXVibratorInactive,None
VFXVibratorSolid,Solid glow
VFXVibratorAnimated,Flickering glow
VFXFilter,Arousal screen filter
VFXFilterHeavy,Strong gradient
VFXFilterMedium,Solid color filter
VFXFilterLight,Solid filter at high arousal
VFXFilterNone,None
ArousalVisible,Meter visibility:
ArousalVisibleAll,Show arousal to everyone
ArousalVisibleAccess,Show if they have access
ArousalVisibleSelf,Show to yourself only
ArousalFetish,Fetish preferences:
ArousalFetishBondage,Being restrained
ArousalFetishGagged,Being gagged
ArousalFetishBlindness,Being blind
ArousalFetishDeafness,Being deaf
ArousalFetishChastity,Being chaste
ArousalFetishExhibitionist,Being naked
ArousalFetishMasochism,Masochism
ArousalFetishSadism,Sadism
ArousalFetishRope,Rope
ArousalFetishLatex,Latex
ArousalFetishLeather,Leather
ArousalFetishMetal,Metal
ArousalFetishTape,Tape
ArousalFetishNylon,Nylon
ArousalFetishLingerie,Lingerie
ArousalFetishPony,Pony
ArousalFetishABDL,ABDL
ArousalFetishPet,Pet play
ArousalFetishForniphilia,Forniphilia (human furniture)
ArousalFetishSpandex,Spandex (Snug & Tight)
ArousalFetishLove0,Hate it
ArousalFetishLove1,Doesn't like it
ArousalFetishLove2,Neutral on it
ArousalFetishLove3,Like it
ArousalFetishLove4,Adore it
ArousalActivity,Activity preferences:
ArousalActivityLoveSelf,Done on yourself:
ArousalActivityLoveOther,Doing it to others:
ArousalActivityLove0,Forbid/Block it
ArousalActivityLove1,Doesn't like it
ArousalActivityLove2,Neutral on it
ArousalActivityLove3,Like it
ArousalActivityLove4,Adore it
ArousalSelectErogenousZones,Click on yourself to set your erogenous zones
ArousalConfigureErogenousZones,Configure this zone to be erogenous or not
ArousalZoneLove0,Block all activities on this zone
ArousalZoneLove1,"Dislike this zone, it's a turn-off"
ArousalZoneLove2,This zone isn't special for you
ArousalZoneLove3,"Like this zone, it turns you on"
ArousalZoneLove4,"Love this zone, it's a big turn-on"
ArousalAllowOrgasm,This zone can give you an orgasm
ArousalZoneItemBoots,Feet & Toes
ArousalZoneItemFeet,Lower Legs
ArousalZoneItemLegs,Upper Legs
ArousalZoneItemVulva,Pussy & Vagina
ArousalZoneItemVulvaPiercings,Clitoris
ArousalZoneItemButt,Butt / Anal
ArousalZoneItemPelvis,Pelvis & Belly
ArousalZoneItemTorso,Torso & Ribs
ArousalZoneItemNipples,Nipples
ArousalZoneItemBreast,Breast
ArousalZoneItemArms,Arms & Shoulders
ArousalZoneItemHands,Hands
ArousalZoneItemNeck,Neck
ArousalZoneItemMouth,Mouth & Lips
ArousalZoneItemHead,Head & Hair
ArousalZoneItemNose,Nose
ArousalZoneItemEars,Ears
ArousalZoneItemHood,Head
ArousalStutter,Speech stuttering:
ArousalStutterNone,Never stutter
ArousalStutterArousal,When you're aroused
ArousalStutterVibration,When you're vibrated
ArousalStutterAll,Aroused & vibrated
VisibilityGroup,Group:
VisibilityAsset,Asset:
VisibilityCheckboxHide,Hide
VisibilityCheckboxBlock,Block
VisibilityWarning,This icon will appear beside a character that's wearing a hidden item
VisibilityReset,Reset All
VisibilityResetDescription,This will reset all items to be visible. Click again to confirm and exit.
VisibilityLocked,All items are forced visible under the Extreme difficulty mode
LeaveSave,Accept changes
LeaveNoSave,Cancel changes
GraphicsFont,Game font
GraphicsFontDisclaimer,Fallback fonts will be used if your chosen font is unsupported on your device.
Arial,Arial
TimesNewRoman,Times New Roman
Papyrus,Papyrus
ComicSans,Comic Sans
Impact,Impact
Verdana,Verdana
HelveticaNeue,Helvetica Neue
CenturyGothic,Century Gothic
Georgia,Georgia
CourierNew,Courier New
Copperplate,Copperplate
GraphicsInvertRoom,Flip the room vertically when upside-down
GraphicsStimulationFlash,Flash the screen for certain effects
GraphicsAntialiasing,Enable antialiasing
GraphicsSupportHint,"For this browser, if supported"
GraphicsNoWebGL,"Not running on WebGL, cannot edit rendering configurations."
GraphicsPowerMode,Preferred power consumption mode
PowerModelow-power,"Low consumption, slower rendering"
PowerModedefault,Default
PowerModehigh-performance,"High consumption, faster rendering"
Sensitivity,Sensitivity
ControllerActive,Controller Active
MapButtons,Map Buttons
MapSticks,Map Sticks
MoveLeftStickUp,Move left stick up
MoveLeftStickRight,Move left stick right
MoveRightStickUp,Move right stick up
MoveRightStickRight,Move right stick right
PressA,Press A button
PressB,Press B button
PressX,Press X button
PressY,Press Y button
PressLeftBumper,Press left bumper
PressRightBumper,Press right bumper
PressLeftTrigger,Press left trigger
PressRightTrigger,Press right trigger
PressSelect,Press Select button
PressStart,Press Start button
PressLeftStick,Press left stick button
PressRightStick,Press right stick button
PressUpOnDpad,Press Up on Dpad
PressDownOnDpad,Press Down on Dpad
PressLeftOnDpad,Press Left on Dpad
PressRightOnDpad,Press Right on Dpad
PressHome,Press Home button
DeadZone,Dead Zone
NotificationsAlertType0,Off
NotificationsAlertType1,(1) in title
NotificationsAlertType2,Popup
NotificationsAlertType3,(1) in icon
NotificationsExplanation,Raise notifications for missed events:
NotificationsAudioExplanation1,: Play a sound for only
NotificationsAudioExplanation2,the first occurrence of an event
NotificationsOnly,Only:
NotificationsBeeps,Beeps
NotificationsChatMessage,Messages in chat rooms
NotificationsChatMessageNormal,Normal Messages
NotificationsChatMessageWhisper,Whispers
NotificationsChatMessageActivity,Items/Activities
NotificationsChatMessageMention,Name Mentioned
NotificationsChatJoin,Players entering chat rooms
NotificationsChatJoinOwner,Owner
NotificationsChatJoinLovers,Lovers
NotificationsChatJoinFriendlist,Friends
NotificationsChatJoinSubs,Owned Subs
NotificationsDisconnect,Disconnect from the game
NotificationsLarp,Your turn in a LARP game
NotificationsTestRaise,Raise a test notification
NotificationsTestReset,Clear raised notifications
NotificationsTestMessage,Hello there!
Page,Page
AllowTints,Allow item tint effects
ChatRoomMapLeaveOnExit,Can only leave a map near an entry or exit
AllowBlur,Allow item blur effects
AllowBlurHint,Turn off if experiencing frame rate drops
GenderFemales,Females
GenderMales,Males
GenderAutoJoinSearch,Automatically enter the chatroom area for:
GenderHideShopItems,Hide shop items exclusively for:
GenderHideTitles,Hide titles in settings for:
CensorExit,Apply the censoring
CensorTitle,Select the censorship to apply and the words to censor in both the chat and room labels.
CensorLevel,Censorship:
CensorLevel0,Replace the word by ***
CensorLevel1,Replace the phrase by ***
CensorLevel2,Hide the phrase or room
CensorWord,Censored words:
CensorAdd,Add
ScriptsWarningTitle,"WARNING!"
ScriptsWarning,"Changing the settings on this page can allow people to modify your items and appearance using scripts in ways that are not possible in the core game. If you don't want this, or if you don't know what you're doing, don't touch these settings!"
ScriptsWarningAccept,"I Accept"
ScriptsExplanation,"Specify who can modify your worn items using scripts, and what they're allowed to do."
ScriptsHelpGlobal,"To reduce issues and maintain a baseline level of visual coherence, the Bondage Club enforces a series of restrictions which prevents people from modifying your items in ways that might cause clipping or graphical issues.\nThis screen allows you to configure bypasses of those restrictions for certain people.\nWhile it enables more elaborate behaviors of items, be aware that it can cause severe visual glitches, including invisible items or characters, and that setting permissions to 'Public' gives everyone the ability to modify that feature, even trolls. Please use this with caution.\nUnwanted script effects can be removed at any time by disabling all permissions for that effect (including 'Self').\nTo find out more about the properties that you can assign permissions for and what each might do and the associated risks, click the '?' icon next to each one."
ScriptsHelpHide,"Permits scripts to override the default item-hiding behaviour of Bondage Club. This can enhance your game by allowing item combinations that wouldn't normally be possible, or by allowing items to be hidden to achieve a particular look that doesn't necessarily reflect exactly what you're wearing. However, it can also be used to create severe visual glitches, including making items or even your whole character invisible. Use with caution!"
ScriptsHelpBlock,"Permits scripts to override the default item-blocking behaviour of Bondage Club. This is the functionality that prevents you from equipping items on others, or can prevent sexual activities on blocked zones. Allowing scripts to add custom blocking behaviour can allow for additional restriction, preventing players from removing worn items or adding new ones in a given slot, but can also result in items that you can't remove yourself without the help of a script (or by removing this permission)."
ScriptsShowHelp,Show help
ScriptsPermissionLevelSelf,Self
ScriptsPermissionLevelOwner,Owner
ScriptsPermissionLevelLovers,Lovers
ScriptsPermissionLevelFriends,Friends
ScriptsPermissionLevelWhitelist,Whitelist
ScriptsPermissionLevelPublic,Public
ScriptsPermissionPropertyHide,Hide
ScriptsPermissionPropertyBlock,Block
FPSFocusedLimit,FPS Limit
FPSUnfocusedLimit,Unfocused FPS limit
ShowFPS,Display FPS Counter
MaxFPS0,Unlimited
MaxFPS10,10 FPS
MaxFPS15,15 FPS
MaxFPS30,30 FPS
MaxFPS60,60 FPS
OOCAutoClose,Auto-close OOC messages
ShowUngarbledMessages,Show ungarbled contents of messages if available
ExtensionsNotFound,No Extensions Found
KeybindSearchMode,Search Mode
KeybindSearchMode.action,Action
KeybindSearchMode.category,Category
KeybindSearchMode.keyCombo,Key Combination
KeybindSearchPlaceholder,Type to search...
KeybindNotBound,Not Bound
KeybindError,Error
KeybindConflictsOnly,Show conflicts only
KeybindConflictsWith,Conflicts with:\n$conflicts$
KeybindContextsValid,Contexts:\n$contexts$
KeybindReset,Reset combination
KeybindUnbind,Unbind combination
KeybindWaitingForInput,Waiting for input for $action$...
KeybindFiltering,Filtering
